SOURCE,INBOUND.2001-08-31,0,0,1,0,1000000
INBOUND.2001-08-31,SR_CLE.2001-08-31,0,0,1,230.580612,230.580612
OUTBOUND.2001-08-31,SINK,0,0,1,0,1000000
D94.2001-08-31,OUTBOUND.2001-08-31,0,0,1,230.580612,230.580612
SOURCE,INBOUND.2001-09-30,0,0,1,0,1000000
INBOUND.2001-09-30,SR_CLE.2001-09-30,0,0,1,213.177673,213.177673
OUTBOUND.2001-09-30,SINK,0,0,1,0,1000000
D94.2001-09-30,OUTBOUND.2001-09-30,0,0,1,213.177673,213.177673
SR_CLE.2001-08-31,D94.2001-08-31,0,-0.800906143,1,0,71.940552
SR_CLE.2001-08-31,D94.2001-08-31,1,-0.793383932,1,0,35.970276
SR_CLE.2001-08-31,D94.2001-08-31,2,-0.790475781,1,0,35.970276
SR_CLE.2001-08-31,D94.2001-08-31,3,-0.786352509,1,0,35.970275
SR_CLE.2001-08-31,D94.2001-08-31,4,-0.679179442,1,0,35.970276
SR_CLE.2001-08-31,D94.2001-08-31,5,-0.601374813,1,0,35.970276
SR_CLE.2001-08-31,D94.2001-08-31,6,0,1,0,1000000
SR_CLE.2001-09-30,D94.2001-09-30,0,-0.742096036,1,0,69.700592
SR_CLE.2001-09-30,D94.2001-09-30,1,-0.735073925,1,0,34.850288
SR_CLE.2001-09-30,D94.2001-09-30,2,-0.732783507,1,0,34.850304
SR_CLE.2001-09-30,D94.2001-09-30,3,-0.730538959,1,0,34.850281
SR_CLE.2001-09-30,D94.2001-09-30,4,-0.72697064,1,0,34.850296
SR_CLE.2001-09-30,D94.2001-09-30,5,-0.719761089,1,0,34.850296
SR_CLE.2001-09-30,D94.2001-09-30,6,0,1,0,1000000
